DayofMonth,DayOfWeek,Carrier,OriginAirportID,DestAirportID,DepDelay,ArrDelay
20,6,DL,10397,10821,-2,-17
20,6,DL,10821,10397,-4,-9
20,6,DL,10397,13931,-5,-19
20,6,DL,11433,11057,-2,-16
20,6,DL,14107,11433,0,-14
20,6,DL,10397,13198,-2,-10
20,6,DL,11066,10397,-1,-13
20,6,DL,10397,13931,-3,-22
20,6,DL,11433,10397,-5,-21
20,6,DL,14747,13487,-5,-18
20,6,DL,11433,12889,-3,-10
20,6,DL,12889,11433,-8,-16
20,6,DL,10397,11292,-3,-13
20,6,DL,10397,13495,0,3
20,6,DL,13495,10397,2,-8
20,6,DL,13487,14635,-4,-15
20,6,DL,14635,13487,-4,-5
20,6,DL,10397,13244,6,-4
20,6,DL,10397,10140,-4,-20
20,6,DL,10140,10397,-5,-15
20,6,DL,10397,10792,-3,-23
20,6,DL,10792,10397,-1,2
20,6,DL,14492,11433,-5,-19
20,6,DL,11433,10397,-4,-8
20,6,DL,10397,15376,-1,-10
20,6,DL,13487,10397,-2,-17
20,6,DL,10397,11066,-3,-17
20,6,DL,12953,11433,-2,-23
18,4,DL,10397,11697,9,-12
18,4,DL,11433,13204,-3,-14
18,4,DL,11433,13303,103,90
18,4,DL,14635,10397,-3,-6
18,4,DL,12953,11433,31,24
18,4,DL,15304,10397,-5,-16
18,4,DL,10397,15304,10,4
18,4,DL,11433,13487,292,293
18,4,DL,10397,14100,1,-11
18,4,DL,14100,10397,-2,-14
18,4,DL,13487,14747,25,117
18,4,DL,14747,12173,129,109
18,4,DL,10397,11278,-3,-15
18,4,DL,11618,11433,-8,-6
18,4,DL,14771,12478,-2,12
18,4,DL,14869,12892,28,14
18,4,DL,10397,11618,76,61
18,4,DL,13487,15304,0,-7
18,4,DL,11433,11278,-8,-5
18,4,DL,12173,14747,1,-6
18,4,DL,12953,10397,-6,-11
18,4,DL,11433,12953,184,185
18,4,DL,10397,12266,57,59
18,4,DL,10397,11057,2,7
18,4,DL,11057,10397,12,-4
18,4,DL,10397,12892,10,51
18,4,DL,14908,14869,-2,3
18,4,DL,14057,12478,-1,25
18,4,DL,13487,14869,57,58
18,4,DL,13487,13342,138,181
18,4,DL,13342,13487,213,221
18,4,DL,12892,12478,49,85
18,4,DL,11433,13342,183,176
18,4,DL,13204,13244,3,-6
18,4,DL,14730,10397,0,-16
18,4,DL,10397,11292,0,-8
18,4,DL,10397,14679,-2,14
18,4,DL,14679,10397,18,3
18,4,DL,12892,13487,5,-4
18,4,DL,10397,13204,-1,-11
18,4,DL,11193,14869,-3,-16
18,4,DL,14027,10397,-4,-11
18,4,DL,10397,15304,8,2
18,4,DL,13204,12889,19,10
18,4,DL,12889,13204,-3,-18
18,4,DL,13204,12953,-1,-7
18,4,DL,13930,10397,120,109
18,4,DL,14869,14679,-4,-7
18,4,DL,14679,14869,9,18
18,4,DL,13487,14831,255,262
18,4,DL,10397,12339,13,5
18,4,DL,12339,10397,22,21
18,4,DL,10397,14122,-1,-2
18,4,DL,14122,10397,6,-1
18,4,DL,11433,10397,-8,-6
18,4,DL,15016,13487,263,251
18,4,DL,12953,13204,-1,-22
18,4,DL,11433,10397,95,96
18,4,DL,10397,10721,5,17
18,4,DL,13487,14869,945,945
18,4,DL,14122,10397,-1,-10
18,4,DL,10397,11042,11,7
18,4,DL,14869,14679,-2,-18
18,4,DL,14679,14869,-6,-2
18,4,DL,13487,12953,22,61
18,4,DL,10397,12451,2,-4
18,4,DL,12451,10397,-2,-13
18,4,DL,13204,13487,0,36
18,4,DL,10397,10721,11,-3
18,4,DL,11193,14635,-1,-19
18,4,DL,14635,11193,-7,-12
18,4,DL,10397,15304,18,13
18,4,DL,13487,14771,24,-20
18,4,DL,14771,13487,-4,26
18,4,DL,10693,10397,-4,-16
18,4,DL,10397,15016,-2,-9
18,4,DL,15016,10397,-1,10
18,4,DL,10397,11298,-3,44
18,4,DL,11298,10397,59,48
18,4,DL,14869,10299,21,23
18,4,DL,10821,10397,-7,-10
18,4,DL,14747,13487,6,8
18,4,DL,11193,10397,0,-9
18,4,DL,11433,12889,-4,3
18,4,DL,12889,11433,-4,-9
18,4,DL,12953,13487,-4,13
18,4,DL,13487,11697,-1,-11
18,4,DL,11697,13487,22,6
18,4,DL,13487,12892,110,105
18,4,DL,13244,11433,-9,20
18,4,DL,14869,10397,-6,-7
18,4,DL,10397,10821,2,-10
18,4,DL,10821,10397,136,127
18,4,DL,11697,10397,-4,-1
18,4,DL,10397,11697,-1,-16
18,4,DL,13204,11433,-1,-11
18,4,DL,10397,14747,10,0
18,4,DL,12953,11433,-5,-9
18,4,DL,12892,14869,1,-3
18,4,DL,13487,14869,51,75
18,4,DL,12892,13495,18,9
18,4,DL,11433,14869,205,190
18,4,DL,13487,13342,139,171
18,4,DL,10397,11278,-3,-1
18,4,DL,11278,10397,-5,-10
18,4,DL,11433,11298,-3,19
18,4,DL,11298,11433,74,78
18,4,DL,10397,11618,-1,-22
18,4,DL,11618,10397,-7,3
18,4,DL,11433,11057,-3,1
18,4,DL,11057,11433,-3,-8
18,4,DL,11193,12889,27,8
18,4,DL,12889,11193,-1,-4
18,4,DL,12953,10397,-1,-26
18,4,DL,14869,11433,4,10
18,4,DL,10397,14771,12,17
18,4,DL,10397,12478,0,-3
18,4,DL,10397,14492,-2,-10
18,4,DL,14492,10397,-6,-9
18,4,DL,14635,10397,-6,-21
18,4,DL,14869,12478,0,42
18,4,DL,10397,12892,-4,-10
18,4,DL,14027,12953,-4,-19
18,4,DL,11278,14869,1,3
18,4,DL,14869,11278,5,-6
18,4,DL,10397,11066,-4,-4
18,4,DL,12892,12478,-5,-12
18,4,DL,12478,12892,37,17
18,4,DL,12173,12892,4,10
18,4,DL,12892,12173,1,-19
18,4,DL,10397,14679,-1,-12
18,4,DL,10397,14747,5,14
18,4,DL,10397,13204,-2,-9
18,4,DL,13204,10397,-10,-13
18,4,DL,12953,14027,23,19
18,4,DL,13487,14893,392,377
18,4,DL,10397,15304,17,11
18,4,DL,15304,10397,11,-3
18,4,DL,10397,13303,3,-3
18,4,DL,13303,10397,-1,-12
18,4,DL,13204,13487,-6,-23
18,4,DL,14869,14771,0,-8
18,4,DL,14771,14869,-4,8
18,4,DL,10397,15304,1,-17
18,4,DL,15304,10397,3,-6
18,4,DL,14869,14679,-2,-10
18,4,DL,14679,14869,537,588
18,4,DL,12953,11697,-7,-2
18,4,DL,10397,12451,1,-7
18,4,DL,12451,10397,1,-6
18,4,DL,10397,13342,-4,-14
18,4,DL,13342,10397,-3,-6
18,4,DL,10397,13487,1,-18
18,4,DL,14869,11278,-2,-9
18,4,DL,11433,13495,11,32
18,4,DL,10397,12953,16,-9
18,4,DL,14908,13487,-4,-13
18,4,DL,14869,14893,-4,-12
18,4,DL,14893,14869,-1,2
18,4,DL,12478,15304,0,-17
18,4,DL,13487,14107,-6,-21
18,4,DL,14107,13487,-6,19
18,4,DL,12953,15304,17,13
18,4,DL,10397,14100,2,-16
18,4,DL,12953,14027,-8,-10
18,4,DL,14027,12953,-6,-32
18,4,DL,14771,11193,0,0
18,4,DL,14747,14869,-3,-14
18,4,DL,11292,13487,113,109
18,4,DL,10397,14524,-4,-14
18,4,DL,14524,10397,-4,-10
19,5,DL,14771,12478,-1,22
19,5,DL,12478,13204,14,37
19,5,DL,13204,12478,164,191
19,5,DL,12478,14869,13,66
19,5,DL,10397,13303,4,2
19,5,DL,12266,10397,52,33
19,5,DL,11193,10397,35,29
19,5,DL,12892,12478,4,7
19,5,DL,12478,12892,-5,18
19,5,DL,12892,11433,14,14
19,5,DL,13204,10397,50,64
19,5,DL,12478,10397,132,120
19,5,DL,13244,10397,11,2
19,5,DL,14771,12478,0,-10
19,5,DL,12478,14771,-1,-12
19,5,DL,13204,10397,-1,20
19,5,DL,10397,13204,7,10
19,5,DL,14747,13487,-5,-10
19,5,DL,13487,14747,0,-19
19,5,DL,13487,11433,4,10
19,5,DL,11433,13487,-5,-20
19,5,DL,12266,10397,16,0
19,5,DL,10397,12266,-5,-17
19,5,DL,12953,10397,-1,26
19,5,DL,12889,10397,8,6
19,5,DL,10397,12889,4,1
19,5,DL,15304,10397,45,50
19,5,DL,11193,10397,49,66
19,5,DL,10397,13204,18,9
19,5,DL,12478,11697,55,47
19,5,DL,11298,10397,1,-6
19,5,DL,10397,11298,7,4
19,5,DL,12892,12478,-7,-8
19,5,DL,12478,12892,19,75
19,5,DL,14869,12478,2,4
19,5,DL,12478,11433,-3,17
19,5,DL,12892,10397,3,-8
19,5,DL,10397,13204,10,5
19,5,DL,13204,10397,6,12
19,5,DL,10397,12892,0,-13
19,5,DL,11433,10397,8,36
19,5,DL,10397,11433,10,-11
19,5,DL,12478,12892,-6,-15
19,5,DL,14747,10397,0,-3
19,5,DL,12889,10397,-3,-11
19,5,DL,10397,12889,17,7
19,5,DL,12478,11697,12,29
19,5,DL,13487,11433,3,-8
19,5,DL,11433,11292,46,19
19,5,DL,14869,10397,-3,-5
19,5,DL,11433,10721,0,-13
19,5,DL,10721,11433,0,-13
19,5,DL,12478,12889,-3,-5
19,5,DL,13303,10397,-2,1
19,5,DL,12266,10397,57,50
19,5,DL,10397,12451,0,-3
19,5,DL,11433,12953,198,203
19,5,DL,12953,11433,-2,-10
19,5,DL,14747,12478,-4,31
19,5,DL,12478,14747,-2,-30
19,5,DL,12892,10397,-1,-8
19,5,DL,11292,13487,-3,5
19,5,DL,11278,10397,36,67
19,5,DL,15304,10397,38,38
19,5,DL,14122,10397,14,25
19,5,DL,10397,13487,36,13
19,5,DL,12478,14107,242,226
19,5,DL,14679,12478,-2,1
19,5,DL,11697,11433,-6,-29
19,5,DL,11292,13487,-3,-3
19,5,DL,10397,12478,128,180
19,5,DL,12478,13303,1,11
19,5,DL,10397,13487,11,-13
19,5,DL,12478,14843,-3,-3
19,5,DL,13204,14869,-2,6
19,5,DL,14843,12478,-7,29
19,5,DL,10397,13244,14,4
19,5,DL,10397,10792,53,35
19,5,DL,12478,14843,-5,-21
19,5,DL,15376,10397,-5,5
19,5,DL,10397,14893,-2,-3
19,5,DL,14893,10397,2,5
19,5,DL,12889,12478,-7,-17
19,5,DL,14843,12478,-7,-27
19,5,DL,14100,10397,10,4
19,5,DL,12478,14843,34,50
19,5,DL,11193,10397,-2,4
19,5,DL,14843,12478,-7,-12
19,5,DL,10397,11193,6,-5
19,5,DL,10397,11057,181,177
19,5,DL,11057,10397,174,182
19,5,DL,10397,11278,-4,24
19,5,DL,13342,10397,0,21
19,5,DL,10397,13487,1,-24
19,5,DL,10397,10693,90,115
19,5,DL,10397,14122,-4,-14
19,5,DL,14122,10397,-2,9
19,5,DL,10721,13487,-7,-16
19,5,DL,10397,12892,-1,-13
19,5,DL,10397,11278,46,84
19,5,DL,10397,12266,37,35
19,5,DL,10397,13487,31,17
19,5,DL,10397,11618,1,-9
19,5,DL,11618,10397,59,67
19,5,DL,11278,10397,0,-16
19,5,DL,12889,11433,1,-12
19,5,DL,11433,11298,25,13
19,5,DL,11298,11433,-6,-15
19,5,DL,10397,10721,230,202
19,5,DL,10397,11278,27,7
19,5,DL,14843,10397,-6,-21
19,5,DL,14843,10397,-8,-12
19,5,DL,10397,12953,26,24
19,5,DL,13487,13244,-3,-7
19,5,DL,10397,14843,4,39
19,5,DL,10397,14843,-3,-13
19,5,DL,14843,10397,2,11
19,5,DL,10397,14843,19,11
19,5,DL,14843,10397,28,28
19,5,DL,12889,14869,-1,-2
19,5,DL,13244,13487,1,1
19,5,DL,10397,13204,37,24
19,5,DL,13495,12953,23,20
19,5,DL,10721,10397,0,15
19,5,DL,10397,10721,-1,-19
19,5,DL,10397,11292,76,72
19,5,DL,11433,11292,-5,-22
19,5,DL,10397,12953,78,104
19,5,DL,12953,10397,0,-10
19,5,DL,12889,13244,-3,-15
19,5,DL,10397,14635,-1,35
19,5,DL,10397,13495,7,16
19,5,DL,13495,10397,10,4
19,5,DL,11618,10397,-2,-1
19,5,DL,10397,12953,38,25
19,5,DL,13204,14869,25,39
19,5,DL,12892,10397,-2,-10
19,5,DL,10397,14492,1,68
19,5,DL,14869,11193,-1,-12
19,5,DL,11433,12892,-1,0
19,5,DL,12478,14679,-1,5
19,5,DL,10397,11618,61,96
19,5,DL,10397,12451,31,36
19,5,DL,12451,10397,36,50
19,5,DL,11433,13487,14,5
19,5,DL,10397,10529,35,17
19,5,DL,12953,13303,-5,-4
19,5,DL,14057,10397,12,12
19,5,DL,14869,12892,-5,-15
19,5,DL,11057,14869,-9,-23
19,5,DL,14869,11057,-4,-23
19,5,DL,11433,10397,0,19
19,5,DL,10821,13487,19,11
19,5,DL,12478,11292,28,30
19,5,DL,13232,10397,35,48
19,5,DL,15304,12953,53,61
19,5,DL,13244,10397,111,91
19,5,DL,10397,13495,11,7
19,5,DL,14683,10397,-3,-18
19,5,DL,13495,12953,30,15
19,5,DL,10397,14843,1,7
19,5,DL,10397,11193,0,0
19,5,DL,11292,10397,77,66
19,5,DL,14679,13487,-1,10
19,5,DL,13487,11433,-3,-21
19,5,DL,11618,10397,-5,-11
19,5,DL,14869,11433,0,0
19,5,DL,11278,11433,-3,-25
19,5,DL,11433,11278,71,70
19,5,DL,11433,12889,0,-20
19,5,DL,11433,15016,-1,-12
19,5,DL,15016,11433,1,-8
19,5,DL,11433,10693,-2,8
19,5,DL,10693,11433,12,-3
19,5,DL,11433,15304,29,47
19,5,DL,12339,11433,2,0
19,5,DL,10397,10423,-4,-9
19,5,DL,10423,10397,-4,-7
19,5,DL,12953,13495,-4,6
19,5,DL,10397,11433,2,-17
19,5,DL,13198,10397,-5,-2
19,5,DL,12478,13204,-8,-14
19,5,DL,13204,12478,0,40
19,5,DL,10397,14027,0,-11
19,5,DL,14027,10397,-1,-2
19,5,DL,13930,10397,0,28
19,5,DL,10397,11057,30,26
19,5,DL,11057,10397,24,24
19,5,DL,12478,10423,-3,18
19,5,DL,14869,14831,8,6
19,5,DL,11433,11292,91,80
19,5,DL,10397,13204,-1,-8
19,5,DL,14635,10397,-2,5
19,5,DL,13487,10397,4,0
19,5,DL,10397,10792,0,-4
19,5,DL,10792,10397,-5,13
19,5,DL,10397,11292,19,46
19,5,DL,10397,13204,-3,-15
19,5,DL,12953,11433,-5,-23
19,5,DL,12451,10397,-3,-18
19,5,DL,11433,14747,273,266
19,5,DL,10397,12451,26,19
19,5,DL,10397,14893,41,29
19,5,DL,14893,10397,28,17
19,5,DL,10397,13244,61,57
19,5,DL,10693,10397,-2,-6
19,5,DL,14492,10397,303,292
19,5,DL,10397,13487,0,-15
19,5,DL,11433,14771,-2,-13
19,5,DL,10397,14635,-1,-2
19,5,DL,10397,11433,17,19
19,5,DL,13303,10397,-2,-10
19,5,DL,12889,11433,-3,14
19,5,DL,10397,14122,17,5
19,5,DL,14122,10397,12,24
19,5,DL,10397,11066,39,25
19,5,DL,11066,10397,26,30
19,5,DL,13487,12889,1,0
19,5,DL,12889,13487,100,97
19,5,DL,12451,10397,-2,-10
19,5,DL,10397,13244,-3,7
19,5,DL,10397,13232,63,55
19,5,DL,13232,10397,56,48
19,5,DL,12478,12892,5,-16
19,5,DL,10397,13342,16,21
19,5,DL,13342,10397,19,30
19,5,DL,13244,10397,-1,17
19,5,DL,10397,13342,31,15
19,5,DL,10397,14027,45,39
19,5,DL,14027,10397,36,41
19,5,DL,10397,13342,-3,-16
19,5,DL,13204,11193,-6,-22
19,5,DL,13342,10397,-3,22
19,5,DL,10397,14307,32,49
19,5,DL,10397,14057,1,-9
19,5,DL,14683,10397,0,-16
19,5,DL,13495,10397,-2,-9
19,5,DL,14869,12889,7,-7
19,5,DL,10397,14730,2,1
19,5,DL,14730,10397,-5,6
19,5,DL,12953,10397,65,52
19,5,DL,13303,12478,-5,-7
19,5,DL,13487,10397,-7,24
19,5,DL,10397,13487,-3,-18
19,5,DL,13487,10397,1,-2
19,5,DL,10397,12953,43,28
19,5,DL,13487,10397,19,13
19,5,DL,11433,12892,0,-18
19,5,DL,12889,14869,-5,-8
19,5,DL,10397,15016,30,10
19,5,DL,13198,13487,-4,-16
19,5,DL,13487,14869,-1,2
19,5,DL,13303,11433,-5,-20
19,5,DL,10397,12339,-2,-19
19,5,DL,12339,10397,-1,10
19,5,DL,10397,13232,8,-11
19,5,DL,13232,10397,0,2
19,5,DL,11433,12339,16,7
19,5,DL,10397,12953,22,14
19,5,DL,11193,13204,30,28
19,5,DL,14100,10397,-4,-8
19,5,DL,14771,13487,183,201
19,5,DL,11618,10397,-5,-13
19,5,DL,13487,10721,-1,35
19,5,DL,10721,13487,-2,-7
19,5,DL,12266,10397,-8,-13
19,5,DL,10397,13930,-3,3
19,5,DL,13930,10397,11,33
19,5,DL,10397,14100,40,27
19,5,DL,13204,10721,-7,-20
19,5,DL,13487,13871,28,18
19,5,DL,13871,13487,15,3
19,5,DL,13487,10721,47,49
19,5,DL,10721,13487,-7,-15
19,5,DL,14908,13487,-11,-4
19,5,DL,13487,12892,-1,-12
19,5,DL,14747,11433,-5,5
19,5,DL,11057,10397,-5,7
19,5,DL,14107,11433,109,107
19,5,DL,10721,11193,0,10
19,5,DL,10397,11057,116,105
19,5,DL,11057,10397,116,93
19,5,DL,11697,10397,-6,1
19,5,DL,10721,13487,42,18
19,5,DL,13198,12892,1,6
19,5,DL,12953,11433,-7,-6
19,5,DL,11278,14869,-5,-16
19,5,DL,11433,14679,44,12
19,5,DL,14679,11433,10,10
19,5,DL,14635,12953,35,28
19,5,DL,15016,10397,5,3
19,5,DL,12173,10397,-1,-17
19,5,DL,10397,12173,-1,8
19,5,DL,10397,13204,18,16
19,5,DL,11278,10397,31,24
19,5,DL,13244,15304,34,27
19,5,DL,14747,12478,6,14
19,5,DL,10397,13871,16,11
19,5,DL,13871,10397,13,14
19,5,DL,13930,10397,3,22
19,5,DL,14107,10397,-5,-6
19,5,DL,12953,10397,16,6
19,5,DL,13487,10721,-5,2
19,5,DL,13495,10397,0,-9
19,5,DL,12892,14492,30,2
19,5,DL,15304,13244,-4,-2
19,5,DL,11433,14635,-6,-3
19,5,DL,14771,11433,-3,-7
19,5,DL,11433,14869,1,-2
19,5,DL,14679,12478,-5,12
19,5,DL,12478,14679,-5,-24
19,5,DL,13487,10721,1,5
19,5,DL,10721,13487,55,46
19,5,DL,14908,13487,-2,8
19,5,DL,12892,12478,-5,12
19,5,DL,12478,12892,-5,-15
19,5,DL,13244,11433,-6,-27
19,5,DL,10721,12478,-7,-16
19,5,DL,13487,10721,-7,-6
19,5,DL,14869,14747,0,-5
19,5,DL,13303,12953,26,34
19,5,DL,13871,10397,0,-1
19,5,DL,12339,12892,7,4
19,5,DL,11433,14635,12,31
19,5,DL,10397,14730,-1,4
19,5,DL,14730,10397,0,10
19,5,DL,11433,13487,-1,-9
19,5,DL,13487,11433,28,36
19,5,DL,12892,13204,-4,-19
19,5,DL,12953,11292,4,-12
19,5,DL,10397,14730,11,-9
19,5,DL,10397,12953,12,51
19,5,DL,13487,11433,4,-2
19,5,DL,10397,13487,13,-10
19,5,DL,10397,14492,0,38
19,5,DL,15304,12478,-7,-18
19,5,DL,13303,10397,-1,2
19,5,DL,15304,11433,-5,-16
19,5,DL,10397,13204,0,-12
19,5,DL,11193,10721,-4,-14
19,5,DL,13487,14107,18,-1
19,5,DL,11433,10721,-3,-12
19,5,DL,13487,10397,-4,-4
19,5,DL,10397,14492,63,135
19,5,DL,14771,13487,340,325
19,5,DL,13487,13930,-3,6
19,5,DL,13930,13487,14,-4
19,5,DL,11697,11193,-9,-22
19,5,DL,11193,11697,-4,-4
19,5,DL,11697,11193,-1,-12
19,5,DL,10397,11298,-2,3
19,5,DL,11298,10397,-7,-17
19,5,DL,13487,12889,5,-16
19,5,DL,10821,14869,0,-2
19,5,DL,12953,11292,4,-8
19,5,DL,12889,11433,-5,6
19,5,DL,13487,10821,20,18
19,5,DL,12892,13198,-11,-10
19,5,DL,13487,13342,69,78
19,5,DL,13342,13487,82,70
19,5,DL,14869,14908,-7,-15
19,5,DL,14908,14869,-6,-10
19,5,DL,13487,13303,-3,3
19,5,DL,13204,10397,4,2
19,5,DL,10397,11618,39,27
19,5,DL,11618,10397,37,46
19,5,DL,13487,13342,3,5
19,5,DL,13342,13487,4,-6
19,5,DL,11292,12953,42,46
19,5,DL,14869,14893,17,37
19,5,DL,12953,11697,-5,14
19,5,DL,13487,13342,,
19,5,DL,13342,13487,,
19,5,DL,14869,14908,-6,-13
19,5,DL,12892,15304,16,5
19,5,DL,10397,11618,69,76
19,5,DL,11618,10397,86,91
19,5,DL,10397,11193,0,-7
19,5,DL,10397,14683,10,19
19,5,DL,14683,10397,100,84
19,5,DL,10397,11278,20,16
19,5,DL,11278,10397,0,8
19,5,DL,10397,13198,-3,16
19,5,DL,13198,10397,-2,-8
19,5,DL,11057,10397,-5,7
19,5,DL,11433,13487,-3,-14
19,5,DL,13487,11433,-3,-12
19,5,DL,12953,10397,197,251
19,5,DL,10397,14100,-2,-21
19,5,DL,14100,10397,-3,-11
19,5,DL,12478,10397,217,213
19,5,DL,14869,14057,-3,-13
19,5,DL,14057,14869,-8,-15
19,5,DL,10397,14683,30,34
19,5,DL,11697,12953,62,36
19,5,DL,12892,10693,-2,-13
19,5,DL,13487,13198,-1,-14
19,5,DL,13198,13487,-6,-14
19,5,DL,12339,10397,38,45
19,5,DL,11433,12266,29,41
19,5,DL,12892,12339,-2,-19
19,5,DL,12478,12892,73,92
19,5,DL,14869,13487,-5,-6
19,5,DL,12266,11433,-5,-32
19,5,DL,13487,11298,15,6
19,5,DL,14747,10397,-3,-12
19,5,DL,15304,10397,-2,-7
19,5,DL,13487,14635,-2,18
19,5,DL,14635,13487,14,16
19,5,DL,12953,14122,9,18
19,5,DL,13930,10397,2,18
19,5,DL,14679,14869,-9,2
19,5,DL,14869,13244,-5,8
19,5,DL,12892,13495,-2,-19
19,5,DL,14122,12953,-2,-14
19,5,DL,10397,14869,-1,-8
19,5,DL,13495,12892,23,27
19,5,DL,12478,10721,0,11
19,5,DL,10397,12953,75,118
19,5,DL,14100,14869,-1,-26
19,5,DL,14869,14100,-2,-8
19,5,DL,13204,11193,0,18
19,5,DL,14869,13487,-1,-7
19,5,DL,13487,14057,-3,-2
19,5,DL,14057,13487,-5,-4
19,5,DL,14635,13487,-5,-25
19,5,DL,14869,13487,-5,-7
19,5,DL,12451,10397,-6,-1
19,5,DL,13487,14107,70,42
19,5,DL,10721,10397,-6,10
19,5,DL,14869,12478,86,73
19,5,DL,10397,10821,-1,32
19,5,DL,10821,10397,19,25
19,5,DL,10397,13931,18,108
19,5,DL,11433,11057,92,132
19,5,DL,11057,11433,116,107
19,5,DL,14107,11433,-5,-14
19,5,DL,10397,13198,-2,-6
19,5,DL,13198,10397,-2,-16
19,5,DL,13244,10397,0,-9
19,5,DL,10397,13303,15,0
19,5,DL,13303,10397,-3,-8
19,5,DL,10397,13303,48,26
19,5,DL,13303,10397,19,29
19,5,DL,10397,13495,27,34
19,5,DL,13495,10397,32,36
19,5,DL,12451,10397,3,-12
19,5,DL,13487,11278,61,74
19,5,DL,12478,14771,-4,-48
19,5,DL,14771,10397,-3,-4
19,5,DL,10397,10423,0,6
19,5,DL,10423,10397,13,8
19,5,DL,11433,15016,18,17
19,5,DL,10397,14683,13,13
19,5,DL,14683,10397,3,-15
19,5,DL,15304,10397,1,-15
19,5,DL,10397,13303,48,41
19,5,DL,10397,13342,-2,-29
19,5,DL,13342,10397,-2,-11
19,5,DL,15304,12953,52,39
19,5,DL,13204,12953,18,10
19,5,DL,10397,11057,0,12
19,5,DL,11057,10397,-4,-7
19,5,DL,12953,11697,-4,3
19,5,DL,14771,10397,-1,-12
19,5,DL,11193,10397,-3,16
19,5,DL,14869,11433,-1,-5
19,5,DL,14869,12889,-4,-15
19,5,DL,12266,10397,-1,2
19,5,DL,12953,13204,-2,-29
19,5,DL,10397,12953,1,34
19,5,DL,13487,14679,43,19
19,5,DL,12889,13244,-5,-21
19,5,DL,10721,11433,-4,-12
19,5,DL,11298,10397,0,4
19,5,DL,10397,15304,9,-1
19,5,DL,15304,10397,8,11
19,5,DL,11433,15304,-1,17
19,5,DL,15304,11433,20,11
19,5,DL,11433,10397,-1,53
19,5,DL,10397,14100,-3,-7
19,5,DL,14100,10397,-1,6
19,5,DL,13244,11433,145,156
19,5,DL,10397,12339,71,59
19,5,DL,10397,10693,17,6
19,5,DL,10693,10397,4,6
19,5,DL,10397,10721,11,33
19,5,DL,10721,10397,-3,-1
19,5,DL,12953,14027,8,-19
19,5,DL,14027,12953,26,-1
19,5,DL,11697,11433,-6,-19
19,5,DL,11433,13204,4,26
19,5,DL,13204,11433,12,30
19,5,DL,10397,10821,27,21
19,5,DL,13244,10397,-4,19
19,5,DL,11433,13930,-5,13
